invoice_number,customer_id,customer_name,industry,country,invoice_date,due_date,invoice_amount,amount_paid,outstanding_amount,payment_terms_days,avg_days_late,promise_reliability,last_contact_days,promise_status,promise_amount,promise_date,dispute_type,sales_owner,email
INV-10001,C012,Nimbus Solutions,Logistics Tech,USA,2026-08-28,2026-09-27,890.85,0.0,890.85,30,25,0.55,0,,0.0,,,Owner 4,finance12@example.com
INV-10002,C046,Delta Labs,Consulting,Canada,2026-07-13,2026-08-27,1932.08,0.0,1932.08,45,45,0.3,7,,0.0,,,Owner 6,finance46@example.com
INV-10003,C056,Peak Labs,Consulting,Australia,2026-08-13,2026-09-12,2291.42,0.0,2291.42,30,0,0.92,9,,0.0,,,Owner 8,finance56@example.com
INV-10004,C077,Tandem Services,Staffing,USA,2026-08-07,2026-08-22,1683.11,0.0,1683.11,15,25,0.55,0,,0.0,,,Owner 5,finance77@example.com
INV-10005,C010,Evergreen Works,Staffing,UAE,2026-07-18,2026-09-01,2882.53,0.0,2882.53,45,8,0.75,8,,0.0,,,Owner 2,finance10@example.com
INV-10006,C067,Kinetic Services,IT Services,USA,2026-07-06,2026-08-20,1218.07,304.51,913.55,45,51,0.3,5,,0.0,,,Owner 3,finance67@example.com
INV-10007,C009,Beacon Technologies,B2B SaaS,USA,2026-08-20,2026-09-19,4616.07,0.0,4616.07,30,13,0.75,7,,0.0,,,Owner 1,finance9@example.com
INV-10008,C081,Highland Digital,B2B SaaS,Canada,2026-07-18,2026-09-01,4721.66,0.0,4721.66,45,6,0.92,7,,0.0,,,Owner 1,finance81@example.com
INV-10009,C025,Westlake Group,B2B SaaS,Canada,2026-08-02,2026-09-01,1638.76,0.0,1638.76,30,27,0.55,4,,0.0,,,Owner 1,finance25@example.com
INV-10010,C027,Granite Services,Consulting,USA,2026-07-07,2026-08-21,1137.06,0.0,1137.06,45,11,0.75,3,,0.0,,,Owner 3,finance27@example.com
INV-10011,C069,Crosspoint Technologies,Logistics Tech,Australia,2026-08-01,2026-09-30,543.25,0.0,543.25,60,25,0.55,1,,0.0,,,Owner 5,finance69@example.com
INV-10012,C081,Highland Digital,B2B SaaS,Canada,2026-07-28,2026-09-11,1110.23,555.12,555.12,45,6,0.92,4,,0.0,,,Owner 1,finance81@example.com
INV-10013,C060,Ridge Works,Staffing,UAE,2026-07-17,2026-09-15,4421.9,0.0,4421.9,60,4,0.92,7,,0.0,,,Owner 4,finance60@example.com
INV-10014,C033,Vantage Systems,Consulting,USA,2026-08-11,2026-09-10,827.62,413.81,413.82,30,1,0.92,8,,0.0,,,Owner 1,finance33@example.com
INV-10015,C007,Cedar Services,Logistics Tech,UAE,2026-07-06,2026-08-20,1352.96,338.24,1014.72,45,3,0.92,10,,0.0,,,Owner 7,finance7@example.com
INV-10016,C031,Cobalt Digital,B2B SaaS,UAE,2026-07-19,2026-09-02,1519.3,0.0,1519.3,45,12,0.75,3,,0.0,,,Owner 7,finance31@example.com
INV-10017,C003,Vertex Systems,Consulting,UAE,2026-06-21,2026-08-20,1253.19,313.3,939.89,60,8,0.75,6,,0.0,,,Owner 3,finance3@example.com
INV-10018,C004,BluePeak Consulting,Digital Agency,UK,2026-07-11,2026-08-25,1596.79,399.2,1197.59,45,2,0.92,3,,0.0,,,Owner 4,finance4@example.com
INV-10019,C069,Crosspoint Technologies,Logistics Tech,Australia,2026-06-27,2026-08-26,667.0,0.0,667.0,60,25,0.55,9,,0.0,,,Owner 5,finance69@example.com
INV-10020,C037,Apex Services,Consulting,Australia,2026-08-06,2026-09-05,1376.39,0.0,1376.39,30,10,0.75,1,,0.0,,,Owner 5,finance37@example.com
INV-10021,C044,Praxis Consulting,B2B SaaS,UK,2026-07-25,2026-08-24,478.72,0.0,478.72,30,13,0.75,5,,0.0,,,Owner 4,finance44@example.com
INV-10022,C009,Beacon Technologies,B2B SaaS,USA,2026-08-01,2026-08-31,1603.37,0.0,1603.37,30,13,0.75,4,,0.0,,,Owner 1,finance9@example.com
INV-10023,C085,Sequoia Group,IT Services,UK,2026-08-21,2026-09-20,1956.97,0.0,1956.97,30,4,0.92,6,,0.0,,,Owner 5,finance85@example.com
INV-10024,C042,Anchor Solutions,Digital Agency,Canada,2026-07-19,2026-08-18,1923.52,0.0,1923.52,30,2,0.92,9,,0.0,,,Owner 2,finance42@example.com
INV-10025,C030,Harbor Works,Logistics Tech,UAE,2026-07-30,2026-09-28,1583.68,395.92,1187.76,60,13,0.75,3,,0.0,,,Owner 6,finance30@example.com
INV-10026,C063,Monarch Systems,Consulting,USA,2026-07-23,2026-08-22,1821.33,0.0,1821.33,30,9,0.75,3,,0.0,,,Owner 7,finance63@example.com
INV-10027,C017,BrightPath Services,IT Services,USA,2026-08-17,2026-09-16,640.75,0.0,640.75,30,14,0.75,0,,0.0,,,Owner 1,finance17@example.com
INV-10028,C083,Cascade Systems,B2B SaaS,USA,2026-06-28,2026-08-27,843.53,421.76,421.77,60,8,0.75,9,,0.0,,,Owner 3,finance83@example.com
INV-10029,C027,Granite Services,Consulting,USA,2026-07-19,2026-09-02,2920.43,0.0,2920.43,45,11,0.75,6,,0.0,,,Owner 3,finance27@example.com
INV-10030,C029,Oakridge Technologies,Digital Agency,UK,2026-08-10,2026-09-09,1635.01,0.0,1635.01,30,28,0.55,0,,0.0,,,Owner 5,finance29@example.com
INV-10031,C021,Silverline Digital,Staffing,Canada,2026-08-01,2026-09-15,790.86,0.0,790.86,45,1,0.92,0,,0.0,,,Owner 5,finance21@example.com
INV-10032,C025,Westlake Group,B2B SaaS,Canada,2026-08-15,2026-09-14,2124.6,1593.45,531.15,30,27,0.55,3,,0.0,,,Owner 1,finance25@example.com
INV-10033,C086,Frontier Labs,Staffing,Canada,2026-07-22,2026-09-20,1058.14,0.0,1058.14,60,6,0.92,8,,0.0,,,Owner 6,finance86@example.com
INV-10034,C075,Arcadia Group,Staffing,UK,2026-07-17,2026-09-15,2566.43,0.0,2566.43,60,24,0.55,2,,0.0,,,Owner 3,finance75@example.com
INV-10035,C059,Paragon Technologies,Logistics Tech,Australia,2026-06-30,2026-08-29,1886.39,0.0,1886.39,60,8,0.75,2,,0.0,,,Owner 3,finance59@example.com
INV-10036,C008,Atlas Partners,B2B SaaS,Australia,2026-08-09,2026-09-08,2477.96,1238.98,1238.98,30,10,0.75,0,,0.0,,,Owner 8,finance8@example.com
INV-10037,C042,Anchor Solutions,Digital Agency,Canada,2026-07-28,2026-08-27,752.55,0.0,752.55,30,2,0.92,9,,0.0,,,Owner 2,finance42@example.com
INV-10038,C069,Crosspoint Technologies,Logistics Tech,Australia,2026-07-15,2026-09-13,1240.8,0.0,1240.8,60,25,0.55,9,,0.0,,,Owner 5,finance69@example.com
INV-10039,C035,Coreline Group,Staffing,UK,2026-07-27,2026-08-26,2502.35,0.0,2502.35,30,11,0.75,5,,0.0,,,Owner 3,finance35@example.com
INV-10040,C052,Pulse Solutions,Staffing,UK,2026-08-16,2026-09-15,458.61,0.0,458.61,30,22,0.55,1,,0.0,,,Owner 4,finance52@example.com
INV-10041,C076,Bayside Labs,Digital Agency,UK,2026-07-28,2026-08-27,1351.9,0.0,1351.9,30,9,0.75,7,,0.0,,,Owner 4,finance76@example.com
INV-10042,C028,Nova Partners,IT Services,Australia,2026-08-18,2026-09-17,1416.56,354.14,1062.42,30,6,0.92,1,,0.0,,,Owner 4,finance28@example.com
INV-10043,C014,Sterling Consulting,Staffing,Canada,2026-07-29,2026-08-28,310.38,0.0,310.38,30,8,0.75,3,,0.0,,,Owner 6,finance14@example.com
INV-10044,C041,Signal Digital,Staffing,Canada,2026-09-10,2026-09-25,4487.74,0.0,4487.74,15,1,0.92,8,,0.0,,,Owner 1,finance41@example.com
INV-10045,C022,Crescent Solutions,Logistics Tech,USA,2026-08-02,2026-08-17,5337.29,0.0,5337.29,15,5,0.92,7,,0.0,,,Owner 6,finance22@example.com
INV-10046,C081,Highland Digital,B2B SaaS,Canada,2026-07-14,2026-08-28,4780.69,3585.52,1195.17,45,6,0.92,7,,0.0,,,Owner 1,finance81@example.com
INV-10047,C016,Lattice Labs,IT Services,UK,2026-08-01,2026-09-15,3029.23,0.0,3029.23,45,1,0.92,8,,0.0,,,Owner 8,finance16@example.com
INV-10048,C041,Signal Digital,Staffing,Canada,2026-09-08,2026-09-23,1042.41,0.0,1042.41,15,1,0.92,8,,0.0,,,Owner 1,finance41@example.com
INV-10049,C044,Praxis Consulting,B2B SaaS,UK,2026-08-28,2026-09-27,750.95,0.0,750.95,30,13,0.75,4,,0.0,,,Owner 4,finance44@example.com
INV-10050,C051,Meridian Digital,Staffing,UAE,2026-08-08,2026-09-07,1132.97,0.0,1132.97,30,27,0.55,0,,0.0,,,Owner 3,finance51@example.com
INV-10051,C049,Vector Technologies,Staffing,USA,2026-08-02,2026-09-01,1135.39,0.0,1135.39,30,26,0.55,1,,0.0,,,Owner 1,finance49@example.com
INV-10052,C006,Northwind Labs,Logistics Tech,UK,2026-07-20,2026-08-19,2932.34,0.0,2932.34,30,11,0.75,7,,0.0,,,Owner 6,finance6@example.com
INV-10053,C043,Vista Systems,B2B SaaS,Canada,2026-06-29,2026-08-28,985.31,246.33,738.99,60,23,0.55,7,,0.0,,,Owner 3,finance43@example.com
INV-10054,C079,Prospect Technologies,B2B SaaS,Canada,2026-08-23,2026-09-22,2334.35,0.0,2334.35,30,5,0.92,3,,0.0,,,Owner 7,finance79@example.com
INV-10055,C061,TrueNorth Digital,Consulting,UAE,2026-08-18,2026-09-17,2111.15,0.0,2111.15,30,28,0.55,8,,0.0,,,Owner 5,finance61@example.com
INV-10056,C062,Axis Solutions,Digital Agency,UK,2026-08-07,2026-08-22,1075.37,0.0,1075.37,15,10,0.75,8,,0.0,,,Owner 6,finance62@example.com
INV-10057,C079,Prospect Technologies,B2B SaaS,Canada,2026-08-31,2026-09-30,1427.16,0.0,1427.16,30,5,0.92,4,,0.0,,,Owner 7,finance79@example.com
